AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-32.4673487191,10.2356421703,38.5181300978,38.6292888529,1.75992308454,0.0,180,5.34566355344e-05,4.62796780026e-05,-2,-15.0,1,-30.0,-3.13541694825,0,100.0
-32.259106895,10.2936063177,38.4043948109,38.5181300978,1.80204274292,0.0,180,5.66266054942e-05,4.88028241119e-05,-2,-15.0,1,-30.0,-3.31841225788,0,100.0
-32.0458259001,10.3420989972,38.288108454,38.4043948109,1.84381201614,0.0,180,5.98751699869e-05,5.1378010337e-05,-2,-15.0,1,-30.0,-3.50659310029,0,100.0
-31.7477889474,10.2551056623,38.1693567323,38.288108454,1.88516851906,0.0,180,6.32019363602e-05,5.40042111847e-05,-2,-15.0,1,-30.0,-3.69999185741,0,100.0
-31.6085992898,10.4126077374,38.0481142254,38.1693567323,1.92513561404,0.0,180,6.66047840503e-05,5.66790425902e-05,-2,-15.0,1,-30.0,-3.89854204007,0,100.0
-31.360135185,10.4015747935,37.9245251347,38.0481142254,1.96551481305,0.0,180,7.0084776648e-05,5.94026200185e-05,-2,-15.0,1,-30.0,-4.10236408353,0,100.0
-31.2113383494,10.5341215796,37.8615400942,37.9245251347,2.00355630016,0.0,180,7.36381029433e-05,6.21712526223e-05,-1,-15.0,1,-30.0,-4.31129510393,0,100.0
-30.9719834726,10.4471162696,37.7974147082,37.8615400942,2.04184453604,0.0,180,7.72624333134e-05,6.49888116653e-05,-1,-15.0,1,-30.0,-4.52570049734,0,100.0
-30.7845735449,10.435136726,37.7321724935,37.7974147082,2.07881217173,0.0,180,8.0955590447e-05,6.78532510871e-05,-1,-15.0,1,-30.0,-4.74553976262,0,100.0
-30.7768786415,10.6885618548,37.7321724935,37.7321724935,2.115017448,0.0,180,8.47163849025e-05,7.07632980307e-05,0,-15.0,1,-30.0,-4.97083138272,0,100.0
